Date,Open,High,Low,Close,Adj Close,Volume
2012-02-17,1733.599976,1786.000000,1718.800049,1784.900024,1784.900024,394
2012-02-24,1778.500000,1790.400024,1669.000000,1721.099976,1721.099976,1933
2012-03-02,1723.000000,1723.000000,1666.000000,1698.099976,1698.099976,985
2012-03-09,1698.800049,1710.900024,1637.400024,1659.099976,1659.099976,720
2012-03-16,1660.000000,1668.000000,1633.800049,1642.300049,1642.300049,1980
2012-03-23,1652.500000,1692.900024,1644.300049,1652.199951,1652.199951,193688
2012-03-30,1660.599976,1682.800049,1612.300049,1628.500000,1628.500000,61985
2012-04-06,1645.300049,1680.099976,1636.199951,1679.500000,1679.500000,1223
2012-04-13,1673.300049,1674.800049,1632.000000,1640.599976,1640.599976,2588
2012-04-20,1641.699951,1659.599976,1625.099976,1659.599976,1659.599976,562
2012-04-27,1654.500000,1670.500000,1631.300049,1634.199951,1634.199951,627
2012-05-04,1635.699951,1645.599976,1586.300049,1595.099976,1595.099976,351
2012-05-11,1586.099976,1589.599976,1528.500000,1574.500000,1574.500000,71
2012-05-18,1573.699951,1594.099976,1534.400024,1557.300049,1557.300049,142
2012-05-25,1558.199951,1582.500000,1530.400024,1562.599976,1562.599976,338967
2012-06-01,1560.000000,1639.699951,1545.500000,1586.599976,1586.599976,11878
2012-06-08,1589.900024,1626.400024,1566.500000,1618.400024,1618.400024,2664
2012-06-15,1624.300049,1630.699951,1564.500000,1564.500000,1564.500000,1926
2012-06-22,1565.500000,1587.500000,1548.400024,1549.699951,1549.699951,401
2012-06-29,1562.599976,1624.000000,1561.900024,1608.900024,1608.900024,273
2012-07-06,1592.300049,1599.800049,1557.199951,1564.900024,1564.900024,71
2012-07-13,1567.800049,1596.000000,1567.800049,1580.099976,1580.099976,134
2012-07-20,1583.900024,1615.000000,1569.800049,1615.000000,1615.000000,90
2012-07-27,1613.400024,1627.500000,1583.099976,1587.400024,1587.400024,260684
2012-08-03,1589.300049,1617.199951,1585.099976,1617.099976,1617.099976,3061
2012-08-10,1615.800049,1624.099976,1591.199951,1616.099976,1616.099976,3244
2012-08-17,1617.800049,1672.699951,1611.400024,1669.599976,1669.599976,811
2012-08-24,1665.800049,1674.900024,1650.699951,1653.500000,1653.500000,661
2012-08-31,1658.599976,1712.400024,1646.199951,1702.599976,1702.599976,601
2012-09-07,1696.699951,1769.099976,1696.699951,1769.099976,1769.099976,179
2012-09-14,1771.000000,1778.500000,1753.800049,1767.699951,1767.699951,152
2012-09-21,1785.300049,1785.300049,1743.000000,1777.599976,1777.599976,15273
2012-09-28,1776.800049,1794.800049,1763.300049,1794.099976,1794.099976,10872
2012-10-05,1792.199951,1792.199951,1758.099976,1768.800049,1768.800049,542
2012-10-12,1769.500000,1769.500000,1729.900024,1743.300049,1743.300049,273
2012-10-19,1741.099976,1741.099976,1698.599976,1712.000000,1712.000000,211
2012-10-26,1706.099976,1725.099976,1706.099976,1714.099976,1714.099976,671
2012-11-02,1711.300049,1726.500000,1674.099976,1725.400024,1725.400024,170
2012-11-09,1733.699951,1734.099976,1706.300049,1713.300049,1713.300049,69
2012-11-16,1710.000000,1734.000000,1706.900024,1727.900024,1727.900024,51
2012-11-23,1735.000000,1751.300049,1716.500000,1727.199951,1727.199951,276198
2012-11-30,1725.199951,1731.199951,1685.000000,1700.300049,1700.300049,73217
2012-12-07,1701.199951,1722.300049,1684.000000,1695.599976,1695.599976,1065
2012-12-14,1698.300049,1702.800049,1637.599976,1644.900024,1644.900024,954
